,City,Lat,Lng,Temp Max,Humidity,Cloudness,windSpeed,country,date
339,Hualmay,-11.0964,-77.6139,66.11,72,95,12.62,PE,1658864086
340,Pingliang,35.5392,106.6861,66.16,83,97,14.94,CN,1658864086
341,Ekhabi,53.5102,142.9671,54.91,92,100,5.14,RU,1658864086
342,Balaka,-14.9793,34.9558,60.46,86,0,6.15,MW,1658864087
343,Heze,35.2431,115.4411,74.82,90,1,2.82,CN,1658864087
344,Tombouctou,20.0,-3.0,103.44,9,0,9.69,ML,1658864087
345,Mwinilunga,-11.7358,24.4293,59.22,45,1,5.17,ZM,1658864088
346,Praia,14.9215,-23.5087,82.94,69,40,2.3,CV,1658864088
347,Tutóia,-2.7619,-42.2744,81.09,66,16,8.34,BR,1658864088
348,Kitakata,37.65,139.8667,72.18,97,33,0.94,JP,1658864088
349,Chimoré,-16.9833,-65.1333,80.69,67,98,2.33,BO,1658864089
350,Hervey Bay,-25.2986,152.8535,54.25,59,0,13.31,AU,1658864089
351,Luyang,27.6239,110.0989,76.71,79,39,3.15,CN,1658864089
352,Ubinskoye,55.3068,79.6802,63.18,84,4,7.2,RU,1658864090
353,Kuytun,54.3419,101.5036,54.03,75,72,4.32,RU,1658864090
